7
1
3	-1	-1	-1	-1	-1	-1	43	-1	-1	-1	30	-1	-1	9	-1	22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	41	-1	-1	13	33	-1	-1	4	-1	-1	-1	-1	-1	-1	38	-1	-1	-1	18	46	26	-1
-1	-1	-1	-1	-1	-1	33	3	-1	-1	10	-1	40	22	-1	-1	-1	-1	48	-1	-1	44	17	-1	-1	-1	-1	-1	-1	31	-1	-1	-1	23	49	-1	46	30	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	26	4	-1	-1	-1	-1	-1	-1	-1	20	8	-1	-1	43	-1	-1	42	-1	18	-1	-1	-1	12	-1	-1	-1	-1	-1	-1	-1	41	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	41	-1	-1	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	32	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	-1	49	-1	-1	-1	-1	-1	-1
-1	19	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	39	-1	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	41	27	-1	4	-1
-1	32	-1	-1	-1	-1	-1	-1	41	-1	-1	-1	33	-1	-1	-1	24	-1	-1	3	-1	-1	26	-1	-1	23	-1	-1	-1	10	-1	-1	15	17	-1	-1	9	44	-1	29	-1	-1	-1	1	-1	-1	-1	38	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	39	-1	32	49	-1	-1	-1	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	38	-1	-1	-1	8	-1	-1	-1	-1	21	-1	-1	-1	-1	-1	-1	-1	-1	-1	22	-1
-1	-1	-1	-1	-1	10	39	6	-1	-1	-1	-1	20	-1	4	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	-1	-1	14	-1	-1	-1	-1	-1	-1	17	-1	-1	-1	36	-1	-1	-1	-1	-1	24	-1	21	-1	-1
36	-1	-1	-1	-1	32	-1	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	11	-1	43	-1	-1	-1	-1	-1	-1	-1	42	-1	-1	-1	-1	-1	22	-1	-1	16	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	19	43	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	-1	-1	-1	-1	21	-1	45	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	15	-1	-1	-1	34	39	5	-1
-1	-1	-1	-1	18	-1	-1	4	-1	-1	-1	-1	-1	-1	33	-1	-1	-1	-1	-1	36	-1	-1	-1	-1	-1	-1	44	49	-1	-1	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13
-1	-1	-1	-1	-1	34	-1	-1	-1	-1	-1	-1	26	-1	-1	19	-1	32	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	-1	-1	-1	-1	-1	20	38	-1	-1	39	-1	41	-1	35	22	49	-1	33	-1
-1	-1	2	-1	-1	4	35	-1	23	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	32	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	-1	47	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	16	43	-1	-1	-1	-1	-1	-1	-1	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	23
