9
1
48	57	66	16	9	2	-1	23	10	12	34	20	59	13	11	5	21	61	60	50	49	58	51	-1	41	78	24	75	19	79	27	76	37	29	4	74	32	25	65	33	38	69	36	77	64	73	80	3	-1	53	43	63	70	28	68	46	6	30	15	35	-1	81	54	47	42	71	14	40	17	18	-1	-1	1	26	22	67	44	45	62	39	55
72	73	44	39	-1	-1	-1	26	81	60	-1	57	46	3	22	68	15	40	-1	-1	18	5	17	62	59	14	-1	52	69	50	11	13	34	23	77	47	29	66	63	35	20	16	8	1	67	32	-1	79	2	6	12	55	30	54	19	37	51	31	38	33	70	76	42	-1	48	28	45	7	9	49	-1	25	-1	80	65	10	58	24	61	36	43
80	34	6	53	77	35	31	79	-1	14	66	38	67	23	24	28	71	72	3	42	73	22	44	75	76	11	-1	49	58	41	57	36	21	8	81	39	59	17	30	-1	47	70	-1	2	26	65	19	9	60	69	37	78	48	18	-1	1	10	62	55	61	56	-1	-1	13	63	4	43	15	50	32	-1	27	20	5	68	33	46	29	25	40	52
3	-1	63	58	38	1	17	19	-1	2	73	30	51	25	26	76	-1	79	33	32	20	57	31	67	48	47	70	15	6	56	10	9	46	72	-1	14	37	80	22	39	41	-1	11	28	45	42	36	23	-1	-1	-1	81	-1	4	43	29	21	74	18	78	59	34	24	65	62	77	12	53	5	60	35	61	-1	69	8	66	13	16	54	27	71
15	-1	41	51	27	21	46	-1	29	44	49	78	52	17	37	36	64	54	6	61	80	77	40	16	8	10	28	68	18	60	26	-1	32	67	30	24	57	12	5	71	74	9	53	43	62	1	45	72	7	50	34	13	76	38	22	39	4	65	11	25	69	-1	66	20	59	56	81	31	79	58	73	55	23	35	47	19	42	-1	75	2	-1
55	52	7	-1	50	-1	40	4	69	16	32	39	19	75	42	62	63	-1	13	15	12	65	-1	1	68	43	23	2	64	45	31	73	35	78	25	-1	58	44	3	14	79	27	61	72	48	10	11	47	29	46	22	66	24	51	20	5	17	57	8	71	9	53	49	54	-1	41	67	-1	76	33	74	70	28	-1	34	-1	56	-1	38	81	-1
22	-1	60	36	37	67	42	25	-1	43	45	8	10	29	50	70	9	65	26	69	30	52	64	35	21	34	54	12	63	20	55	48	16	62	53	44	31	78	-1	81	-1	18	19	56	13	-1	-1	58	68	33	57	14	74	27	32	3	79	-1	41	77	2	28	40	38	66	72	1	51	75	80	23	39	-1	59	-1	15	49	17	76	6	11
33	-1	-1	76	78	12	62	71	11	47	6	27	31	41	53	18	69	35	46	79	55	9	25	63	38	-1	81	61	28	22	65	54	42	43	66	1	49	-1	68	4	60	34	23	-1	7	16	21	20	15	17	39	40	59	56	58	67	50	75	44	80	-1	13	-1	10	19	37	-1	24	29	36	2	30	32	-1	74	51	70	72	14	64	77
54	24	32	20	18	43	65	28	13	-1	80	48	81	-1	33	58	74	1	19	29	4	72	2	37	-1	39	53	40	-1	17	51	-1	3	38	5	59	15	-1	76	21	55	50	6	-1	10	49	25	26	77	8	61	-1	35	62	64	36	52	60	45	14	23	-1	-1	-1	46	22	34	11	-1	44	16	-1	31	63	30	41	73	9	78	79	12
-1	77	51	25	2	63	-1	47	-1	5	52	3	50	74	80	13	41	69	49	71	19	24	65	78	44	81	-1	53	56	76	36	59	20	32	17	48	22	67	37	-1	58	26	39	38	18	46	42	27	-1	73	40	-1	29	68	75	55	31	4	-1	12	7	14	9	30	43	54	33	57	72	61	-1	35	16	-1	70	79	15	62	6	45	64
