8
1
47	11	-1	-1	-1	-1	60	63	-1	62	-1	52	57	45	-1	-1	46	-1	24	30	-1	6	-1	35	51	-1	31	22	-1	33	2	29	44	41	48	43	14	58	-1	19	53	5	17	-1	-1	1	4	-1	-1	-1	61	36	-1	42	21	-1	15	18	-1	-1	16	40	56	32
-1	52	23	-1	32	16	45	41	7	5	36	19	38	37	8	-1	22	25	14	-1	49	29	4	50	40	60	-1	15	-1	42	-1	56	26	35	-1	59	-1	-1	-1	3	61	2	-1	63	-1	21	46	-1	54	17	-1	12	13	64	-1	31	51	58	-1	53	-1	39	57	-1
43	46	50	7	54	-1	53	29	26	63	49	3	-1	31	-1	51	42	62	-1	12	41	18	38	-1	-1	36	52	1	-1	-1	59	48	-1	-1	16	-1	61	15	21	22	-1	19	57	-1	-1	24	-1	34	-1	-1	-1	45	-1	-1	2	-1	13	9	14	4	30	-1	11	20
34	26	40	36	-1	51	2	-1	12	22	-1	44	17	43	24	-1	-1	-1	-1	-1	19	60	47	-1	-1	13	6	63	7	8	50	61	53	5	38	55	-1	45	-1	20	-1	32	52	59	64	-1	-1	37	49	30	25	18	-1	-1	35	48	33	42	21	41	10	29	23	46
57	-1	56	-1	21	64	31	-1	-1	18	2	53	1	48	-1	55	23	45	-1	63	59	-1	51	-1	44	43	25	5	34	41	-1	-1	-1	7	8	29	-1	-1	37	33	22	-1	20	-1	-1	16	-1	12	-1	-1	46	15	52	58	28	11	36	-1	19	35	-1	27	6	54
38	-1	58	9	-1	8	12	-1	56	35	33	20	28	13	-1	25	53	27	55	5	15	1	21	52	57	3	11	-1	64	-1	4	46	54	36	-1	32	31	-1	34	60	51	7	-1	-1	40	23	39	50	29	-1	19	-1	26	41	22	-1	48	24	47	17	45	-1	61	2
19	3	62	-1	-1	-1	44	30	-1	-1	16	11	-1	21	27	-1	8	-1	28	43	33	13	37	-1	24	23	-1	-1	47	-1	12	-1	6	17	52	42	-1	2	10	-1	-1	36	38	41	58	18	-1	15	-1	39	7	4	-1	56	14	-1	-1	5	22	55	-1	50	1	-1
33	59	61	28	6	22	17	10	15	29	-1	41	47	14	54	46	-1	34	-1	-1	58	20	-1	-1	18	-1	19	9	16	21	35	38	39	11	27	51	13	4	57	64	-1	42	25	60	45	8	48	30	23	24	37	1	63	5	43	53	-1	62	49	3	44	26	31	52
-1	-1	48	6	-1	27	-1	16	18	40	-1	-1	43	-1	28	-1	2	-1	-1	39	56	61	50	-1	62	5	54	30	42	64	60	-1	63	32	-1	46	21	55	20	-1	45	9	19	-1	1	-1	36	41	13	26	58	-1	37	31	-1	10	49	-1	24	25	-1	-1	-1	14
-1	20	29	51	-1	3	-1	-1	-1	17	-1	50	5	-1	64	-1	14	-1	13	-1	36	-1	1	19	28	7	33	59	31	24	16	8	30	49	-1	58	-1	47	52	23	35	37	-1	-1	61	34	26	38	21	12	-1	41	27	-1	46	43	45	63	-1	-1	18	44	2	-1
