7
1
25	37	7	17	32	40	3	12	41	6	19	48	4	27	23	18	31	8	44	13	9	22	14	21	45	47	43	49	28	29	39	1	35	16	11	36	5	26	10	2	20	46	33	15	42	34	30	38	24
13	27	6	16	22	5	43	47	49	28	32	10	8	2	37	24	20	1	26	39	38	46	41	30	17	18	12	3	15	31	19	9	25	34	40	7	42	33	35	4	23	48	44	45	36	14	11	29	21
12	26	38	8	28	10	14	9	21	36	23	22	35	15	33	29	49	41	19	3	7	37	6	24	11	5	31	32	4	20	13	48	47	42	2	45	16	1	44	30	43	34	39	18	27	17	40	46	25
34	4	19	30	18	11	31	46	13	39	20	42	25	5	48	27	6	43	45	40	10	1	35	2	16	44	33	29	22	14	7	36	38	17	37	15	41	24	3	47	21	28	9	49	12	23	8	32	26
36	39	33	44	2	21	48	37	11	38	24	40	7	3	14	35	15	17	32	28	30	26	4	34	27	42	20	23	43	49	12	46	18	8	45	19	25	22	13	31	29	9	1	10	16	5	6	41	47
35	29	20	47	49	24	9	30	16	14	45	26	1	31	25	22	11	46	34	42	5	40	39	28	15	36	38	19	10	33	32	21	41	23	44	12	17	6	37	8	27	18	4	48	13	2	7	43	3
41	42	23	46	15	1	45	33	18	17	44	29	43	34	12	36	47	4	2	21	16	48	25	7	8	9	13	10	5	30	24	6	3	26	27	40	38	49	39	32	11	14	37	28	35	20	31	19	22
22	41	42	11	30	29	23	36	28	35	17	38	33	46	5	14	13	24	9	6	2	39	32	48	25	40	7	47	49	3	18	44	43	19	10	20	34	12	1	45	37	26	31	21	4	8	16	15	27
6	19	15	3	7	46	16	23	9	42	26	2	24	37	18	38	8	25	12	49	35	20	1	10	5	29	21	22	41	34	17	47	30	40	14	4	44	13	36	27	48	31	32	11	43	28	33	39	45
49	14	5	10	35	45	24	43	6	27	47	8	30	16	32	28	1	36	20	23	39	33	37	13	38	31	18	41	26	25	11	4	2	7	12	42	15	21	40	17	46	22	48	9	3	44	19	34	29
1	17	32	33	9	25	38	4	39	13	7	12	44	40	42	45	48	31	41	29	27	11	24	14	43	49	34	6	21	22	16	20	15	28	5	2	19	47	18	3	8	10	36	30	37	35	46	26	23
20	21	37	28	39	8	47	29	1	18	22	31	14	49	44	17	3	30	43	34	40	45	19	4	46	15	26	27	23	13	9	35	6	48	36	11	32	25	16	33	38	41	2	12	10	42	24	5	7
44	43	27	13	12	4	36	10	34	15	3	41	45	48	19	21	22	7	46	11	26	17	8	16	42	23	2	30	33	1	37	29	39	31	32	49	28	35	6	9	24	5	47	20	40	25	38	18	14
18	2	48	40	31	26	34	32	19	5	21	20	11	25	15	16	33	10	4	47	37	12	3	9	36	28	44	35	46	45	38	24	42	27	8	43	7	39	14	23	30	29	49	17	41	1	13	22	6
14	9	39	2	3	22	13	44	30	31	25	47	15	12	28	7	10	27	33	16	23	4	17	11	24	20	35	38	40	32	49	26	45	29	43	1	6	46	5	42	18	21	19	41	34	37	48	8	36
47	15	18	43	21	41	49	19	22	29	9	4	26	20	45	30	46	44	24	37	17	27	12	8	32	25	36	28	1	7	2	16	5	14	48	35	10	3	34	38	13	33	6	40	23	31	39	42	11
45	40	10	35	29	31	44	18	36	43	37	28	3	8	13	47	32	26	49	48	1	9	16	6	7	46	39	2	38	4	42	22	34	15	21	25	12	41	23	11	19	24	20	27	14	30	5	33	17
